0,1,2,3,4,target
17194.0,17011.0,16749.0,16546.0,16403.0,16161.0
17011.0,16749.0,16546.0,16403.0,16161.0,16380.0
16749.0,16546.0,16403.0,16161.0,16380.0,17330.0
16546.0,16403.0,16161.0,16380.0,17330.0,17738.0
16403.0,16161.0,16380.0,17330.0,17738.0,17468.0
16161.0,16380.0,17330.0,17738.0,17468.0,17093.0
16380.0,17330.0,17738.0,17468.0,17093.0,16736.0
17330.0,17738.0,17468.0,17093.0,16736.0,15984.0
17738.0,17468.0,17093.0,16736.0,15984.0,14900.0
17468.0,17093.0,16736.0,15984.0,14900.0,17580.0
17093.0,16736.0,15984.0,14900.0,17580.0,17158.0
16736.0,15984.0,14900.0,17580.0,17158.0,17002.0
15984.0,14900.0,17580.0,17158.0,17002.0,16923.0
14900.0,17580.0,17158.0,17002.0,16923.0,17191.0
17580.0,17158.0,17002.0,16923.0,17191.0,17908.0
17158.0,17002.0,16923.0,17191.0,17908.0,18944.0
17002.0,16923.0,17191.0,17908.0,18944.0,19752.0
16923.0,17191.0,17908.0,18944.0,19752.0,19882.0
17191.0,17908.0,18944.0,19752.0,19882.0,19544.0
17908.0,18944.0,19752.0,19882.0,19544.0,19309.0
18944.0,19752.0,19882.0,19544.0,19309.0,18756.0
19752.0,19882.0,19544.0,19309.0,18756.0,18201.0
19882.0,19544.0,19309.0,18756.0,18201.0,17666.0
19544.0,19309.0,18756.0,18201.0,17666.0,17203.0
19309.0,18756.0,18201.0,17666.0,17203.0,16935.0
18756.0,18201.0,17666.0,17203.0,16935.0,17207.0
18201.0,17666.0,17203.0,16935.0,17207.0,18349.0
17666.0,17203.0,16935.0,17207.0,18349.0,18815.0
17203.0,16935.0,17207.0,18349.0,18815.0,18599.0
16935.0,17207.0,18349.0,18815.0,18599.0,18480.0
17207.0,18349.0,18815.0,18599.0,18480.0,18135.0
18349.0,18815.0,18599.0,18480.0,18135.0,17112.0
18815.0,18599.0,18480.0,18135.0,17112.0,16047.0
18599.0,18480.0,18135.0,17112.0,16047.0,16718.0
18480.0,18135.0,17112.0,16047.0,16718.0,16150.0
18135.0,17112.0,16047.0,16718.0,16150.0,16090.0
17112.0,16047.0,16718.0,16150.0,16090.0,16223.0
16047.0,16718.0,16150.0,16090.0,16223.0,16652.0
16718.0,16150.0,16090.0,16223.0,16652.0,17317.0
16150.0,16090.0,16223.0,16652.0,17317.0,18384.0
16090.0,16223.0,16652.0,17317.0,18384.0,19366.0
16223.0,16652.0,17317.0,18384.0,19366.0,19772.0
16652.0,17317.0,18384.0,19366.0,19772.0,19792.0
17317.0,18384.0,19366.0,19772.0,19792.0,19697.0
18384.0,19366.0,19772.0,19792.0,19697.0,19193.0
19366.0,19772.0,19792.0,19697.0,19193.0,18640.0
19772.0,19792.0,19697.0,19193.0,18640.0,18066.0
19792.0,19697.0,19193.0,18640.0,18066.0,17692.0
19697.0,19193.0,18640.0,18066.0,17692.0,17522.0
19193.0,18640.0,18066.0,17692.0,17522.0,17933.0
18640.0,18066.0,17692.0,17522.0,17933.0,19353.0
18066.0,17692.0,17522.0,17933.0,19353.0,20046.0
17692.0,17522.0,17933.0,19353.0,20046.0,20127.0
17522.0,17933.0,19353.0,20046.0,20127.0,20049.0
17933.0,19353.0,20046.0,20127.0,20049.0,19751.0
19353.0,20046.0,20127.0,20049.0,19751.0,19038.0
20046.0,20127.0,20049.0,19751.0,19038.0,18133.0
20127.0,20049.0,19751.0,19038.0,18133.0,15059.0
20049.0,19751.0,19038.0,18133.0,15059.0,14617.0
19751.0,19038.0,18133.0,15059.0,14617.0,14452.0
19038.0,18133.0,15059.0,14617.0,14452.0,14465.0
18133.0,15059.0,14617.0,14452.0,14465.0,14561.0
15059.0,14617.0,14452.0,14465.0,14561.0,14862.0
14617.0,14452.0,14465.0,14561.0,14862.0,15318.0
14452.0,14465.0,14561.0,14862.0,15318.0,15865.0
14465.0,14561.0,14862.0,15318.0,15865.0,16421.0
14561.0,14862.0,15318.0,15865.0,16421.0,16751.0
14862.0,15318.0,15865.0,16421.0,16751.0,16521.0
15318.0,15865.0,16421.0,16751.0,16521.0,16047.0
15865.0,16421.0,16751.0,16521.0,16047.0,15790.0
16421.0,16751.0,16521.0,16047.0,15790.0,15702.0
16751.0,16521.0,16047.0,15790.0,15702.0,15488.0
16521.0,16047.0,15790.0,15702.0,15488.0,15607.0
16047.0,15790.0,15702.0,15488.0,15607.0,16012.0
15790.0,15702.0,15488.0,15607.0,16012.0,17243.0
